depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,Ndep,Narr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,budget,aircraft_weight,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
0,4710.066296,2,3965.460119,0,371.09,0,2,0,0,0,0,0,0,0,0,30.18,10000,17,8.2368,0,0,0,0,0,0,0,2,3,344.3761207,495.8688638,368.1187963,340.5913701,493.4249171,356.5079945,12.45
1,4321.339799,0,3184.920063,1,787.45,0,0,0,1,0,0,0,0,0,0,30.15,10000,18,1.0296,0,0,0,0,0,0,0,2,3,304.4346384,463.0911415,445.4114477,308.7510319,436.1286332,420.3523307,12.29636667
0,3142.706126,2,2124.478679,0,375.05,0,2,0,0,0,0,0,0,0,0,30.12,10000,14,9.2664,0,0,0,0,0,0,0,2,3,287.5238096,568.3335041,466.7600926,259.6222654,477.9785062,396.9651383,12.03333333
0,2906.287768,2,2124.478679,0,375.34,1,1,0,0,0,0,0,0,0,0,30.15,10000,18,4.1184,0,0,0,0,0,0,0,2,3,379.5099065,511.6363995,470.7743302,364.7395679,468.1251799,422.2702051,12.01666667
0,4439.931382,2,2655.53379,1,1053.66,0,0,0,0,0,0,0,0,0,0,30.18,9000,10,4.6332,0,0,0,0,0,0,0,2,3,347.1765186,396.646297,396.646297,329.6031237,424.566363,428.7354854,11.95
0,4122.438699,0,3285.14712,0,811.37,0,2,0,0,0,0,0,0,0,0,30,10000,18,4.6332,0,0,0,0,0,0,0,2,3,210.5501107,471.7116665,351.4727556,299.5089798,433.322359,377.9812388,11.66666667
0,3357.904033,2,2710.950257,0,375.5,0,0,0,0,0,0,0,0,0,0,30.3,10000,12,4.6332,0,0,0,0,0,0,0,2,3,235.7749524,396.4128337,396.4128337,255.6852463,398.9585272,398.9585272,11.6
1,4615.47348,0,2651.570206,1,958.29,0,0,0,1,0,0,0,0,0,0,30.24,10000,16,4.6332,0,0,0,0,0,0,0,2,3,273.5507126,363.4573128,363.4573128,351.6890573,438.3347198,424.4571996,11.50438333
0,2905.760819,0,2124.478679,0,533.06,0,2,0,0,0,0,0,0,0,0,30.27,10000,12,7.2072,0,0,0,0,0,0,0,2,3,336.4894513,457.1245939,350.5674869,335.7474992,426.3260553,396.8070226,11.49965
1,4209.469897,0,1973.738126,1,821.04,0,0,0,3,0,0,0,0,0,0,30.15,10000,17,3.0888,0,0,0,0,0,0,0,2,3,339.090568,475.2679495,475.2679495,364.9262983,493.9471022,493.9471022,11.46666667
1,4234.678473,0,2729.713241,1,799.52,0,0,0,1,0,0,0,0,0,0,30.09,10000,20,3.6036,0,0,0,0,0,0,0,2,3,221.8755806,470.1695105,470.1695105,222.3112886,444.4505093,444.4505093,11.42146667
0,2627.854863,0,1833.940898,0,377.98,0,2,0,0,0,0,0,0,0,0,30.18,6000,17,4.6332,0,0,1,0,0,0,0,2,3,258.6933799,511.8352058,537.6209393,235.1335923,494.3590202,447.9139641,11.25
1,3413.380595,0,1955.020774,2,526.31,0,0,0,2,0,0,0,0,0,0,30.12,10000,19,3.0888,0,0,0,0,0,0,0,2,3,320.5725021,395.8421603,382.3087743,278.4360376,425.8090354,387.6531003,11.24106667
1,2005.299577,0,981.8399331,2,400.24,0,0,0,0,0,0,0,0,0,0,30.18,10000,17,3.0888,0,0,0,0,0,0,0,2,3,242.8537649,483.2729131,483.2729131,268.3581523,489.6742294,469.6527401,11.22375
1,4646.000198,0,3048.221628,1,700.49,0,0,0,0,0,0,0,0,0,0,30.15,10000,17,5.148,0,0,0,0,0,0,0,2,3,221.8755806,405.9448894,405.9448894,222.3112886,406.4440693,381.8019026,11.22061667
0,2971.649061,2,2124.478679,0,375.01,0,0,0,0,0,0,0,0,0,0,29.91,6000,19,1.5444,0,0,0,0,0,0,0,2,3,363.5110484,415.1927065,426.8383097,353.8829811,404.6838922,389.5844043,11.16666667
0,3675.05886,0,2839.653716,0,532.99,0,2,0,0,0,0,0,0,0,0,29.97,10000,18,5.148,0,0,0,0,0,0,0,2,3,273.3688402,461.9518506,443.9375355,281.7423427,440.998578,399.3173983,11.08333333
1,3841.836273,0,1076.042283,2,808.58,0,0,0,0,0,0,0,0,0,0,30.12,9000,18,4.1184,0,0,0,0,0,0,0,2,3,326.1951342,434.3640348,434.3640348,367.3690759,434.1949952,422.8553985,10.89208333
1,4472.619998,0,2584.165744,1,980.85,0,0,0,0,0,0,0,0,0,0,30.18,10000,20,6.6924,0,0,0,0,0,0,0,2,3,221.8755806,392.3938474,392.3938474,222.3112886,422.4718286,401.3947454,10.85
0,2971.649061,2,2124.478679,0,375.01,0,0,0,0,0,0,0,0,0,0,30.15,10000,19,1.5444,0,0,0,0,0,0,0,2,3,273.5039325,439.2695471,401.2403565,262.2084426,439.9586014,422.3257064,10.6644
0,2896.468398,2,1833.940898,0,377.51,0,1,0,0,0,0,0,0,0,0,29.94,4900,19,1.5444,0,0,0,0,1,0,0,2,3,268.267183,475.8340917,475.8340917,323.2634631,454.2578488,454.2578488,10.58333333
1,3900.657751,0,2363.952974,2,530.99,0,0,0,0,0,0,0,0,0,0,30.33,10000,14,3.0888,0,0,0,0,0,0,0,2,3,345.2244971,414.31006,414.31006,305.9037764,435.4477953,435.4477953,10.39893333
1,4352.227577,0,3200.616313,2,590.46,0,0,0,2,0,0,0,0,0,0,30.03,10000,18,4.1184,0,0,0,0,0,0,0,2,3,323.885994,462.1918475,421.9746599,359.6472321,455.9464992,411.6489432,10.33333333
1,3713.35547,0,1973.738126,1,821.69,0,0,0,0,0,0,0,0,0,0,30.27,8000,15,4.1184,0,0,0,0,0,0,0,2,3,238.2665353,410.9192274,410.9192274,265.4958916,446.423863,446.423863,10.31666667
1,3823.183865,0,2800.882156,1,633.05,0,0,0,0,0,0,0,0,0,0,30.15,8000,19,7.2072,0,0,0,0,0,0,0,2,3,327.5413834,394.636662,370.4348967,294.168908,420.0037869,361.0890227,10.27538333
0,3148.774007,2,2536.356798,0,377.17,0,5,0,0,0,0,0,0,0,0,30.21,7000,17,4.1184,0,0,1,0,0,0,0,2,3,279.5622384,506.6515688,397.1650648,234.2367816,476.2295607,467.393002,10.26666667
1,3676.350948,0,2103.062794,1,787.72,0,0,0,0,0,0,0,0,0,0,30.18,10000,17,6.1776,0,0,0,0,0,0,0,2,3,332.9065481,436.6847262,414.4778745,293.4476745,428.6373612,385.8568754,10.16666667
0,3142.135505,0,2284.19446,1,624.96,0,0,0,0,0,0,0,0,0,0,30.15,10000,16,3.6036,0,0,0,0,0,0,0,2,3,459.1413138,524.9489615,478.6404152,415.5223101,485.2625276,500.7989932,10.15008333
0,3177.46563,0,2121.179157,1,828.99,0,3,0,0,0,0,0,0,0,0,30.21,8000,11,5.6628,0,0,0,0,0,0,0,2,2,265.2946299,360.4242238,367.171911,306.2355742,381.812866,371.3921166,9.983333333
1,4123.408131,0,2065.826518,1,915.95,0,0,0,0,0,0,0,0,0,0,30.18,9000,10,7.2072,0,0,0,0,0,0,0,2,3,421.3520486,491.007752,543.4424804,359.4203475,463.8998072,461.616119,9.95
